Year,Quarter,MType,資料日期,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）
2025,4,sii,2026-03-02,2049,上銀,19863891.0,34312105.0,54175996.0,8529746.0,8172630.0,16702376.0,3537923,,7479735,25162811.0,1165297,,37345766,,,127854,37473620.0,,0,0.0,105.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2059,川湖,29989968.0,5093468.0,35083436.0,5366945.0,1690532.0,7057477.0,952971,,796691,26263649.0,12648,,28025959,,,,28025959.0,,0,0.0,294.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2062,橋椿,5131012.0,6116284.0,11247296.0,2338428.0,1299723.0,3638151.0,1999942,,1911126,3879802.0,-183545,,7607325,,,1820,7609145.0,,0,0.0,38.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2301,光寶科,164020954.0,41666429.0,205687383.0,109597232.0,6111358.0,115708590.0,23167758,,21560557,49832936.0,-2012223,-2726963,89822065,,,156728,89978793.0,,0,47004221.0,39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2303,聯電,204783258.0,374212751.0,578996009.0,87598137.0,111542432.0,199140569.0,125881563,,15409600,232882973.0,5594129,,379768265,,,87175,379855440.0,,0,0.0,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2308,台達電,395780787.0,243837813.0,639618600.0,209664989.0,104564608.0,314229597.0,25975433,,55072097,183526435.0,3484011,,268057976,,,57331027,325389003.0,0,0,0.0,103.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2329,華泰,10681781.0,10032449.0,20714230.0,7939025.0,1621007.0,9560032.0,6590043,,375146,4621252.0,-432243,,11154198,,,,11154198.0,0,0,0.0,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2330,台積電,3817130817.0,4115893061.0,7933023878.0,1458019289.0,1014209306.0,2472228595.0,259325245,,73445601,5103501560.0,-16676412,0,5419595994,,,41199289,5460795283.0,,0,0.0,208.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2340,台亞,5589526.0,9111282.0,14700808.0,3985559.0,3649181.0,7634740.0,4386228,,1810974,424039.0,-41078,-23172,6556991,,,509077,7066068.0,,0,754543.0,14.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2344,華邦電,73191129.0,119000938.0,192192067.0,46615224.0,31446712.0,78061936.0,45000002,,13751860,31692818.0,17491287,,107935967,,,6194164,114130131.0,,0,0.0,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2379,瑞昱,97357079.0,32546284.0,129903363.0,74755910.0,2935367.0,77691277.0,5155126,,1623486,42615429.0,2808327,,52202368,,,9718,52212086.0,0,0,0.0,101.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2387,精元,15452098.0,4680254.0,20132352.0,7769264.0,688666.0,8457930.0,1952510,,133022,9169542.0,-625050,-23737,10606287,,,1068135,11674422.0,0,0,1730000.0,54.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2395,研華,42495527.0,33221997.0,75717524.0,16517343.0,4150916.0,20668259.0,8658303,,12057154,33162960.0,1069064,,54947481,,,101784,55049265.0,,640500,0.0,63.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2412,中華電,117371085.0,418500866.0,535871951.0,78942022.0,56139853.0,135081875.0,77574465,,172450886,135212191.0,1020169,,386257711,,,14532365,400790076.0,,0,0.0,49.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2419,仲琦,8866618.0,2127429.0,10994047.0,4486510.0,398941.0,4885451.0,3213172,,1153471,184553.0,190586,,4741782,,,1366814,6108596.0,0,0,0.0,14.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2423,固緯,2422190.0,1315827.0,3738017.0,653183.0,121118.0,774301.0,1450472,,4157,1632956.0,-123869,,2963716,,,,2963716.0,0,0,0.0,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2439,美律,31548152.0,13246417.0,44794569.0,20331321.0,5375423.0,25706744.0,2538269,,8480217,7310841.0,-780006,,17549321,,,1538504,19087825.0,0,0,0.0,69.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
